frame,cog_tiles,veg_tiles,pct_cogongrass
DJI_20260606123618_0285_D,48,48,100.0
DJI_20260606122018_0044_D,37,48,77.1
DJI_20260606122255_0082_D,29,48,60.4
DJI_20260606121959_0042_D,25,48,52.1
DJI_20260606130801_0426_D,25,48,52.1
BRMG5867,10,20,50.0
DJI_20260606122038_0049_D,24,48,50.0
DJI_20260606122346_0100_D,22,48,45.8
DJI_20260606122031_0046_D,21,48,43.8
DJI_20260606122303_0084_D,21,48,43.8
DJI_20260606122036_0048_D,20,48,41.7
DJI_20260606122307_0085_D,20,48,41.7
DJI_20260606121957_0041_D,18,48,37.5
DJI_20260606122308_0086_D,18,48,37.5
DJI_20260606122341_0098_D,18,48,37.5
DJI_20260606121934_0036_D,16,48,33.3
DJI_20260606121938_0037_D,16,48,33.3
DJI_20260606121949_0039_D,15,48,31.2
DJI_20260606122217_0073_D,15,48,31.2
DJI_20260606122309_0087_D,15,48,31.2
DJI_20260606122323_0092_D,15,48,31.2
DJI_20260606121927_0033_D,14,48,29.2
DJI_20260606121853_0021_D,13,48,27.1
DJI_20260606121850_0019_D,12,48,25.0
DJI_20260606121915_0028_D,12,48,25.0
DJI_20260606121920_0030_D,12,48,25.0
DJI_20260606121932_0035_D,12,48,25.0
DJI_20260606121940_0038_D,12,48,25.0
DJI_20260606122343_0099_D,12,48,25.0
DJI_20260606121918_0029_D,11,48,22.9
DJI_20260606121907_0025_D,10,48,20.8
DJI_20260606122315_0089_D,10,48,20.8
DJI_20260606122320_0091_D,10,48,20.8
DJI_20260606122337_0097_D,10,48,20.8
DJI_20260606121822_0012_D,9,48,18.8
DJI_20260606121829_0015_D,9,48,18.8
DJI_20260606121912_0027_D,9,48,18.8
DJI_20260606122021_0045_D,9,48,18.8
DJI_20260606122040_0050_D,9,48,18.8
DJI_20260606121800_0005_D,8,48,16.7
DJI_20260606121900_0023_D,8,48,16.7
DJI_20260606121925_0032_D,8,48,16.7
DJI_20260606122312_0088_D,8,48,16.7
DJI_20260606122334_0096_D,8,48,16.7
DJI_20260606121825_0013_D,7,48,14.6
DJI_20260606121836_0016_D,7,48,14.6
DJI_20260606121851_0020_D,7,48,14.6
DJI_20260606121930_0034_D,7,48,14.6
DJI_20260422155909_0037_D,6,48,12.5
DJI_20260606121801_0006_D,6,48,12.5
DJI_20260606121844_0017_D,6,48,12.5
DJI_20260606121845_0018_D,6,48,12.5
DJI_20260606121909_0026_D,6,48,12.5
DJI_20260606121923_0031_D,6,48,12.5
DJI_20260606122316_0090_D,6,48,12.5
DJI_20260606122328_0094_D,6,48,12.5
DJI_20260606121816_0010_D,5,48,10.4
DJI_20260606121904_0024_D,5,48,10.4
DJI_20260606121952_0040_D,5,48,10.4
DJI_20260606122033_0047_D,5,48,10.4
DJI_20260606122049_0051_D,5,48,10.4
DJI_20260606122220_0074_D,5,48,10.4
DJI_20260606122229_0077_D,5,48,10.4
DJI_20260606122257_0083_D,5,48,10.4
DJI_20260606122326_0093_D,5,48,10.4
DJI_20260606121827_0014_D,4,48,8.3
DJI_20260606121858_0022_D,4,48,8.3
DJI_20260606122004_0043_D,4,48,8.3
DJI_20260606122206_0070_D,4,48,8.3
DJI_20260606122212_0072_D,4,48,8.3
DJI_20260606133407_0532_D,3,36,8.3
DJI_20260606133408_0533_D,3,36,8.3
DJI_20260606122052_0052_D,3,48,6.2
DJI_20260606122059_0054_D,3,48,6.2
DJI_20260606122109_0057_D,3,48,6.2
DJI_20260606122115_0059_D,3,48,6.2
DJI_20260606122223_0075_D,3,48,6.2
DJI_20260606122331_0095_D,3,48,6.2
DJI_20260606134754_0751_D,3,48,6.2
DJI_20260606133447_0545_D,2,40,5.0
DJI_20260606134746_0748_D,2,45,4.4
DJI_20260606134744_0747_D,2,46,4.3
DJI_20260606134748_0749_D,2,46,4.3
DJI_20260606121805_0007_D,2,47,4.3
DJI_20260606134826_0762_D,2,47,4.3
DJI_20260606122102_0055_D,2,48,4.2
DJI_20260606122105_0056_D,2,48,4.2
DJI_20260606122111_0058_D,2,48,4.2
DJI_20260606122133_0062_D,2,48,4.2
DJI_20260606122200_0068_D,2,48,4.2
DJI_20260606122226_0076_D,2,48,4.2
DJI_20260606134218_0676_D,2,48,4.2
DJI_20260606134750_0750_D,2,48,4.2
DJI_20260422161232_0114_D,1,32,3.1
DJI_20260422161257_0116_D,1,32,3.1
DJI_20260422161258_0117_D,1,32,3.1
DJI_20260606121746_0002_D,1,40,2.5
DJI_20260606121749_0003_D,1,40,2.5
DJI_20260606133415_0535_D,1,40,2.5
DJI_20260606121809_0008_D,1,46,2.2
